source,dataset,season,url,params,local_path,downloaded_at_utc,bytes,sha256,remote_updated_at,required,notes
cfbd,calendar,2026,https://api.collegefootballdata.com/calendar,"{""year"": 2026}",data/raw/cfbd/calendar/year-2026.json,2026-09-16T18:09:16+00:00,3386,94f31795379709068f63b4e3740eea11d2f13c4d5f6b8223b9764bdd3146e00a,,False,records=16
cfbd,coaches,,https://api.collegefootballdata.com/coaches,"{""maxYear"": 2026, ""minYear"": 2021, ""team"": ""Auburn""}",data/raw/cfbd/coaches/maxYear-2026_minYear-2021_team-Auburn.json,2026-09-16T18:19:11+00:00,2321,43792dc57042500501369d0ab67dcd2640658e3607a94f1bb4bfc2dec4412b20,,False,records=5
cfbd,coaches,,https://api.collegefootballdata.com/coaches,"{""maxYear"": 2026, ""minYear"": 2021, ""team"": ""Florida""}",data/raw/cfbd/coaches/maxYear-2026_minYear-2021_team-Florida.json,2026-09-16T18:19:11+00:00,2310,f80c7ecb5819b2049f77977883f730283b73f3847155334c0bef496763cef4fa,,False,records=5
cfbd,drives,2026,https://api.collegefootballdata.com/drives,"{""team"": ""Auburn"", ""year"": 2026}",data/raw/cfbd/drives/team-Auburn_year-2026.json,2026-09-16T18:09:11+00:00,25873,224cc5238536e23cbe4ca57632d10174d4effc5ebdf2738dde28658a24c9f3a6,,False,records=48
cfbd,drives,2026,https://api.collegefootballdata.com/drives,"{""team"": ""Florida"", ""year"": 2026}",data/raw/cfbd/drives/team-Florida_year-2026.json,2026-09-16T18:09:14+00:00,26536,f93d8070c405448994ff559353a92954c63741de831b65c448db798ab832bdb3,,False,records=48
cfbd,game_box_advanced,401856636,https://api.collegefootballdata.com/game/box/advanced,"{""id"": 401856636}",data/raw/cfbd/game_box_advanced/id-401856636.json,2026-09-16T18:09:17+00:00,12487,0e82a8fd86e898a6f1925a1bddee49bd3bc58e1ee713919027d4d87d71c3f988,,True,records=1
cfbd,game_box_advanced,401856637,https://api.collegefootballdata.com/game/box/advanced,"{""id"": 401856637}",data/raw/cfbd/game_box_advanced/id-401856637.json,2026-09-16T18:09:17+00:00,11983,26cfebeb678732cea625203640406359a00de350e3461ad9b207dcdefc0ad1a2,,True,records=1
cfbd,game_box_advanced,401856671,https://api.collegefootballdata.com/game/box/advanced,"{""id"": 401856671}",data/raw/cfbd/game_box_advanced/id-401856671.json,2026-09-16T18:09:18+00:00,13847,1addd2e699b16a8af1c6ec4d11c9c5b8ae4043f3962c079b9a0e20b0df261937,,True,records=1
cfbd,game_box_advanced,401856672,https://api.collegefootballdata.com/game/box/advanced,"{""id"": 401856672}",data/raw/cfbd/game_box_advanced/id-401856672.json,2026-09-16T18:09:18+00:00,13112,9ffd3de5982420682d33ea31658f790c9b3f9d5f2050a132678d50c49325ce8e,,True,records=1
cfbd,games,2021,https://api.collegefootballdata.com/games,"{""seasonType"": ""both"", ""year"": 2021}",data/raw/cfbd/games/seasonType-both_year-2021.json,2026-09-16T18:08:52+00:00,1877193,510835b3ae65558ce20514513287442b525134ab5f7848a6d115d2a29c3ec2bc,,True,records=2454
cfbd,games,2022,https://api.collegefootballdata.com/games,"{""seasonType"": ""both"", ""year"": 2022}",data/raw/cfbd/games/seasonType-both_year-2022.json,2026-09-16T18:08:54+00:00,2840903,dd6d82a92bcb4c7c0ce105ce2ec77805b13fc2942c19a0e254e5f8f3614e6ecd,,True,records=3705
cfbd,games,2023,https://api.collegefootballdata.com/games,"{""seasonType"": ""both"", ""year"": 2023}",data/raw/cfbd/games/seasonType-both_year-2023.json,2026-09-16T18:08:56+00:00,2866478,64dde3632aba93da53f3026cd87e5bc8d3bd5b98134fcaeda657413ee160ff43,,True,records=3734
cfbd,games,2024,https://api.collegefootballdata.com/games,"{""seasonType"": ""both"", ""year"": 2024}",data/raw/cfbd/games/seasonType-both_year-2024.json,2026-09-16T18:09:00+00:00,2921690,d388d24522cb631e0d80cb08fefa44e9fca530285fe9905cb986a12cf5ed7799,,True,records=3801
cfbd,games,2025,https://api.collegefootballdata.com/games,"{""seasonType"": ""both"", ""year"": 2025}",data/raw/cfbd/games/seasonType-both_year-2025.json,2026-09-16T18:09:04+00:00,2946710,73641f9e47908a06e110fa79abab56baf7afccbfde580a14f7078a4ec4420736,,True,records=3831
cfbd,games,2026,https://api.collegefootballdata.com/games,"{""seasonType"": ""both"", ""year"": 2026}",data/raw/cfbd/games/seasonType-both_year-2026.json,2026-09-16T18:09:08+00:00,2751971,b7b13393e1bbbe32ddb783b0cbc3b0c0f62f3c40e0c41eaf60752616e3a0e419,,True,records=3679
cfbd,games_teams,2026,https://api.collegefootballdata.com/games/teams,"{""team"": ""Auburn"", ""year"": 2026}",data/raw/cfbd/games_teams/team-Auburn_year-2026.json,2026-09-16T18:09:09+00:00,5489,aacd09791f1ec77e1ff472249da35dda647df7940d587b96f22fdcde2d51109f,,True,records=2
cfbd,games_teams,2026,https://api.collegefootballdata.com/games/teams,"{""team"": ""Florida"", ""year"": 2026}",data/raw/cfbd/games_teams/team-Florida_year-2026.json,2026-09-16T18:09:14+00:00,5437,ec4fbda133153389170cfcfc416cfc1830e8e7c630afd3a31b1f932f8da2432b,,True,records=2
