metric,side,play_family,down_group,group_label,row_label,k,team_seasons,median_early_plays,weight_pct,early_late_correlation,weight_text,plays_text,correlation_text
value,offense,run,standard downs,"PPA, offenses","Runs, standard downs",398.11,664,44.0,9.952274320870371,0.2170484542028112,10%,44,0.22
value,offense,run,passing downs,"PPA, offenses","Runs, passing downs",158.49,664,11.0,6.490058410525689,0.1398928498946416,6%,11,0.14
value,offense,pass,standard downs,"PPA, offenses","Passes, standard downs",473.15,664,34.0,6.704130927733409,0.1422569897281692,7%,34,0.14
value,offense,pass,passing downs,"PPA, offenses","Passes, passing downs",281.84,664,22.5,7.39304724978642,0.1868375014661727,7%,22,0.19
value,defense,run,standard downs,"PPA, defenses","Runs, standard downs",334.97,664,40.0,10.66752006827212,0.2381134512672005,11%,40,0.24
value,defense,run,passing downs,"PPA, defenses","Runs, passing downs",421.7,664,12.0,2.76688955499193,-0.0129276191722262,3%,12,−0.01
value,defense,pass,standard downs,"PPA, defenses","Passes, standard downs",841.4,664,31.0,3.55341586428243,0.0634747977523538,4%,31,0.06
value,defense,pass,passing downs,"PPA, defenses","Passes, passing downs",944.06,664,24.0,2.47918517447265,0.0818839431323112,2%,24,0.08
explosive,offense,run,standard downs,"Explosive plays, offenses","Runs, standard downs",794.33,664,44.0,5.24852981522789,0.1244055353511807,5%,44,0.12
explosive,offense,run,passing downs,"Explosive plays, offenses","Runs, passing downs",316.23,664,11.0,3.36154998013629,0.0597396623243261,3%,11,0.06
explosive,offense,pass,standard downs,"Explosive plays, offenses","Passes, standard downs",446.68,664,34.0,7.073312806856951,0.1782040062651458,7%,34,0.18
explosive,offense,pass,passing downs,"Explosive plays, offenses","Passes, passing downs",375.84,664,22.5,5.64844103027564,0.1181842326434427,6%,22,0.12
explosive,defense,run,standard downs,"Explosive plays, defenses","Runs, standard downs",794.33,664,40.0,4.79426605779487,0.1203300234309962,5%,40,0.12
explosive,defense,run,passing downs,"Explosive plays, defenses","Runs, passing downs",237.14,664,12.0,4.81656899735088,0.1044517995215186,5%,12,0.10
explosive,defense,pass,standard downs,"Explosive plays, defenses","Passes, standard downs",1059.25,664,31.0,2.84338454482916,0.0646316642120272,3%,31,0.06
explosive,defense,pass,passing downs,"Explosive plays, defenses","Passes, passing downs",1059.25,664,24.0,2.21555504269559,0.051515244050957,2%,24,0.05
