team,plays,raw_ppa_over_expected,shrunk_ppa_over_expected,posterior_sd,rank_estimate,rank_low_90,rank_high_90,one_play_swing_in_raw_mean,rank_interval_width,could_be_top_25,interval_text
Mississippi State,105,0.4442481675045507,0.0665744549253244,0.0485822588923835,1,1.0,84.0,0.0335667235485587,84.0,True,1th to 84th
Massachusetts,90,0.3623081286680915,0.0475567067936415,0.0491107944005477,2,2.0,104.0,0.0371632523412923,103.0,True,2th to 104th
Memphis,169,0.2086193051077478,0.0461076328867854,0.0465047356614488,3,2.0,101.0,0.0397116953353668,100.0,True,2th to 101th
North Texas,106,0.2930731974217489,0.0442746614125151,0.0485476270329387,4,2.0,104.0,0.0371210885170846,103.0,True,2th to 104th
Oregon State,142,0.2228512292085954,0.0428989975701821,0.0473481755607087,5,2.0,104.0,0.0406781309428861,103.0,True,2th to 104th
Georgia State,104,0.27793798006246,0.0413137094109936,0.0486169649725142,6,2.0,105.0,0.0418654817829466,104.0,True,2th to 105th
SMU,87,0.3216195324290609,0.0409880457641114,0.0492185866193111,7,2.0,111.0,0.0697823130494705,110.0,True,2th to 111th
Miami,74,0.3457364212501032,0.0382052014044554,0.0496940264852473,8,2.0,110.0,0.0410783151499623,109.0,True,2th to 110th
Louisville,116,0.2340675142566793,0.0381528140597684,0.0482053331040723,9,3.0,107.0,0.0476800115539034,105.0,True,3th to 107th
Boise State,136,0.1772829136502802,0.0329531151852474,0.0475419192456506,10,3.0,110.0,0.0377584689636969,108.0,True,3th to 110th
Utah,80,0.2672008495145074,0.0316373145682156,0.0494728878547257,11,3.0,117.0,0.0456395011926508,115.0,True,3th to 117th
Miami (OH),68,0.2985727797202311,0.0305923952339687,0.0499181572746943,12,3.0,115.0,0.0836903335897084,113.0,True,3th to 115th
BYU,97,0.208093688692532,0.0291414081990812,0.0488620081824163,13,3.0,116.0,0.0302789880005767,114.0,True,3th to 116th
Georgia,53,0.3506612930004648,0.0286514484152323,0.0504920272013683,14,3.0,116.0,0.0953276379840532,114.0,True,3th to 116th
Nebraska,107,0.1759255380298977,0.0267896743363775,0.0485130691300152,15,3.0,116.0,0.0460113905560791,114.0,True,3th to 116th
Louisiana,75,0.2305795973185543,0.0257857480674135,0.0496569640656845,16,4.0,118.0,0.0597980791463935,115.0,True,4th to 118th
Purdue,118,0.1506386798919129,0.0249073287381186,0.0481377390763422,17,4.0,116.0,0.026720021315949,113.0,True,4th to 116th
Army,99,0.1726693826375444,0.0246081088318269,0.0487916180222925,18,4.0,120.0,0.0362758450434852,117.0,True,4th to 120th
Cincinnati,103,0.1605981600781471,0.0236761951278864,0.048651745538818,19,4.0,118.04999999999971,0.029483554341874,115.04999999999971,True,4th to 118th
Colorado State,120,0.1386465883480193,0.0232478978869327,0.0480704285966976,20,4.0,118.0,0.0500823192807948,115.0,True,4th to 118th
Florida Atlantic,129,0.1264967236778691,0.0225182531869361,0.0477709877892875,21,5.0,117.0,0.0491346757989479,113.0,True,5th to 117th
App State,118,0.1359260164482243,0.0224746657244212,0.0481377390763422,22,4.0,118.0,0.026095244241514,115.0,True,4th to 118th
UConn,89,0.1684982004173174,0.0219033386456653,0.049146646410988,23,5.0,121.0,0.0445935568238041,117.0,True,5th to 121th
Middle Tennessee,111,0.1258875524095031,0.0197740332231268,0.0483755718460737,24,5.0,122.0,0.0375599545466898,118.0,True,5th to 122th
Northwestern,54,0.2278312757239022,0.0189374270989297,0.0504531518878629,25,5.0,123.0,0.1126847865549234,119.0,True,5th to 123th
UAB,134,0.0969601910110045,0.0178064654708694,0.0476070309218915,26,5.0,121.0,0.0678857512052531,117.0,True,5th to 121th
Toledo,70,0.1663717647040084,0.017495453428598,0.0498431103904826,27,5.0,122.0,0.090142550857514,118.0,True,5th to 122th
Indiana,79,0.1457256134759294,0.0170638891657997,0.0495095393302116,28,5.0,122.04999999999971,0.0511990378467562,118.04999999999971,True,5th to 122th
Illinois,108,0.111125881788164,0.0170559577539176,0.0484785849207629,29,5.0,123.0,0.0455700429514533,119.0,True,5th to 123th
South Alabama,148,0.0797978479535339,0.0158810229098284,0.0471567813760211,30,7.0,123.0,0.0239064496774996,117.0,True,7th to 123th
Florida,69,0.1469798090876986,0.0152583378374675,0.0498805914912587,31,5.0,123.0,0.0582447410799157,119.0,True,5th to 123th
Coastal Carolina,112,0.0957732463266013,0.015157849233501,0.0483413798090019,32,6.0,123.0,0.0417733535336262,118.0,True,6th to 123th
USC,166,0.0685239709567184,0.0149344578667847,0.0465962312752664,33,7.0,123.0,0.0338384804444031,117.0,True,7th to 123th
Sam Houston,128,0.0835763862100637,0.014782877919034,0.0478039829084906,34,6.0,124.0,0.0536509400142349,119.0,True,6th to 124th
UCLA,110,0.0909880177308728,0.0141834338780659,0.0484098365383938,35,6.0,124.0,0.0496961248774296,119.0,True,6th to 124th
Ball State,101,0.0928217776127211,0.0134570659129056,0.0487215311985602,36,6.0,125.0,0.0442472775797405,120.0,True,6th to 125th
Texas State,115,0.081526080666515,0.0131926649546185,0.048239237071567,37,6.0,123.0,0.0368452354335282,118.0,True,6th to 123th
Arizona,105,0.0878544134368702,0.0131657485954262,0.0485822588923835,38,6.0,125.0,0.0373265946117312,120.0,True,6th to 125th
Stanford,105,0.0831311679427409,0.0124579291439325,0.0485822588923835,39,6.0,125.0,0.0345486905784828,120.0,True,6th to 125th
Air Force,122,0.0693881474596162,0.0117957723574856,0.0480033996882544,40,7.0,124.0,0.0280554148740323,118.0,True,7th to 124th
Nevada,110,0.0727308896724005,0.0113374682764561,0.0484098365383938,41,7.0,125.0,0.0555783087308678,119.0,True,7th to 125th
Arkansas State,93,0.0803684555481321,0.0108533476112686,0.049003707311741,42,6.0,125.0,0.0627362526466536,120.0,True,6th to 125th
Virginia,97,0.0723006336334633,0.0101249696278779,0.0488620081824163,43,7.0,126.0,0.0358049439056211,120.0,True,7th to 126th
New Mexico State,177,0.0429053058742531,0.0098286945613113,0.0462633578829852,44,7.0,124.0,0.024448025059704,118.0,True,7th to 124th
Kennesaw State,100,0.0652841108899938,0.0093844853649762,0.0487565368296648,45,7.0,126.0,0.0452241120434308,120.0,True,7th to 126th
Missouri,116,0.0573039283566657,0.0093404936196684,0.0482053331040723,46,7.0,125.0,0.0431048686836119,119.0,True,7th to 125th
Notre Dame,88,0.0711509711116661,0.0091584785680405,0.0491825770546222,47,8.0,127.0,0.0425123214209301,120.0,True,8th to 127th
Alabama,99,0.0599189290209568,0.0085393918939837,0.0487916180222925,48,7.94999999999996,124.0,0.0735263657718177,117.05000000000004,True,7th to 124th
Ohio,121,0.0493599877653699,0.0083338801099681,0.0480368790688765,49,7.0,125.0,0.0311962458297367,119.0,True,7th to 125th
Ole Miss,122,0.0467764991781136,0.0079518614660561,0.0480033996882544,50,8.0,127.0,0.0461825254799729,120.0,True,8th to 127th
Wake Forest,101,0.051791898400081,0.0075086580805675,0.0487215311985602,51,8.0,126.0,0.0567864775398138,119.0,True,8th to 126th
Colorado,112,0.0472375007199198,0.0074761892443136,0.0483413798090019,52,7.0,127.0,0.0481610615741772,121.0,True,7th to 127th
Charlotte,112,0.0459632098214973,0.0072745096515384,0.0483413798090019,53,8.0,127.0,0.0472775083410105,120.0,True,8th to 127th
North Carolina,84,0.0518485186319781,0.0064080210179886,0.0493270917405355,54,7.0,129.0,0.0327947967888404,123.0,True,7th to 129th
Houston,98,0.0446520761059648,0.0063084269791894,0.0488267750486743,55,7.0,128.0,0.0475589947929377,122.0,True,7th to 128th
Arizona State,96,0.0451155522737259,0.00626188158673,0.0488973176985088,56,8.0,127.0,0.112914110150911,120.0,True,8th to 127th
Virginia Tech,83,0.0506308141423129,0.0061921397663218,0.0493634198977483,57,9.0,128.0,0.0571339043104668,120.0,True,9th to 128th
Akron,93,0.0447483476867303,0.0060430347847499,0.049003707311741,58,8.0,128.0,0.0444892594643447,121.0,True,8th to 128th
San José State,180,0.0248348543530749,0.0057631872000019,0.0461738054163855,59,10.0,126.0,0.0262541938953712,117.0,True,10th to 126th
Jacksonville State,132,0.0279104282481091,0.0050630466546881,0.047672410856732,60,9.0,126.0,0.0537687502913579,118.0,True,9th to 126th
Temple,96,0.0329270513670747,0.0045701600949009,0.0488973176985088,61,8.0,128.0,0.0405119401483613,121.0,True,8th to 128th
Navy,113,0.0273948454575838,0.0043682690383356,0.0483072601707757,62,9.0,129.0,0.0432044865417294,121.0,True,9th to 129th
Western Michigan,100,0.0273990546556219,0.0039385697978354,0.0487565368296648,63,9.0,127.0,0.0382572916663087,119.0,True,9th to 127th
Fresno State,63,0.0345913734954726,0.0033086213375865,0.0501072676686986,64,7.0,129.0,0.0879193585248483,123.0,True,7th to 129th
South Florida,109,0.0198957636961131,0.0030775668306365,0.0484441741436379,65,9.0,127.04999999999971,0.050360697362328,119.04999999999971,True,9th to 127th
Tulane,101,0.0211985785831733,0.0030733161612558,0.0487215311985602,66,9.94999999999996,128.0,0.0655463229929351,119.05000000000004,True,9th to 128th
Missouri State,65,0.0270953290201778,0.0026658135596396,0.0500313659230094,67,8.0,129.0,0.0838513523057474,122.0,True,8th to 129th
Duke,124,0.012027482081007,0.002072378314822,0.047936650393371,68,10.0,129.0,0.0313596855659949,120.0,True,10th to 129th
Tennessee,112,0.0079154821791468,0.0012527682842953,0.0483413798090019,69,9.0,128.0,0.0349540102300529,120.0,True,9th to 128th
East Carolina,87,0.0057783873576114,0.0007364130022444,0.0492185866193111,70,10.0,129.0,0.0885372910738251,120.0,True,10th to 129th
Southern Miss,97,0.0005849007908584,8.190941690478141e-05,0.0488620081824163,71,10.0,129.0,0.0759671783967908,120.0,True,10th to 129th
UTSA,113,-0.0032770498395105,-0.000522544847832,0.0483072601707757,72,10.0,130.0,0.0322270920768011,121.0,True,10th to 130th
Kansas,106,-0.0043999894055394,-0.0006647078029062,0.0485476270329387,73,10.94999999999996,130.0,0.0272951296011512,120.05000000000004,True,10th to 130th
Boston College,127,-0.0046683678185602,-0.0008204172265756,0.047837046490834,74,11.0,129.0,0.0499372526978195,119.0,True,11th to 129th
Pittsburgh,118,-0.0140815057684837,-0.0023283043475619,0.0481377390763422,75,11.0,130.0,0.0416126636720562,120.0,True,11th to 130th
Ohio State,106,-0.0183103043952815,-0.0027661435252114,0.0485476270329387,76,10.0,130.0,0.0450765349384021,121.0,True,10th to 130th
Kansas State,98,-0.0206645780250133,-0.0029194830989985,0.0488267750486743,77,11.0,130.0,0.1034535021725439,120.0,True,11th to 130th
Syracuse,121,-0.0173398629084262,-0.0029276412970161,0.0480368790688765,78,10.0,130.0,0.0606478913515732,121.0,True,10th to 130th
Florida International,153,-0.0165267505905301,-0.0033774915720769,0.0469990469548259,79,12.0,129.0,0.0373189095336448,118.0,True,12th to 129th
Penn State,97,-0.0288480626782291,-0.0040398782660875,0.0488620081824163,80,11.0,130.0,0.0521375000721421,120.0,True,11th to 130th
