metric,play_family,down_group,pairings,offenses,defenses,median_abs_edge,p90_abs_edge,largest_abs_edge,auburn_florida_edge,auburn_florida_abs_percentile
value,run,standard downs,18906,138.0,138.0,0.0095807600459138,0.0233776157999188,0.0549745986623782,-0.0103835850354318,53.316407489685815
value,run,passing downs,11366,108.0,106.0,0.0084589069739196,0.0231876815895139,0.0585919795370585,0.0011658484225613,7.293682913953897
value,pass,standard downs,18769,138.0,137.0,0.0059984436789548,0.0150539052800407,0.0331568712369862,-0.0047184984269851,40.52426874100911
value,pass,passing downs,18361,135.0,137.0,0.0089503242261223,0.0223028546703856,0.0486614817824971,-0.0127103532497661,65.54109253308643
explosive,run,standard downs,18906,138.0,138.0,0.000732224549192,0.001694439973019,0.0037831924943478,-0.0007760885303366,52.50714059028879
explosive,run,passing downs,11366,108.0,106.0,0.0013014381371844,0.0025562377271596,0.0088196194241298,-0.0002588191592978,14.35861340841105
explosive,pass,standard downs,18769,138.0,137.0,0.001452315676048,0.003530057001975,0.0073747449424114,-0.0002932476080275,10.703820128936012
explosive,pass,passing downs,18361,135.0,137.0,0.0012575365709297,0.0031559393384795,0.0066033126642585,-0.0025270920987003,81.72757475083057
value,any,largest of the four situations,18906,,,0.0169427345688956,0.0287331341324044,0.0585919795370585,0.0127103532497661,28.371945414154236
explosive,any,largest of the four situations,18906,,,0.0022506227507185,0.0040596700001406,0.0088196194241298,0.0025270920987003,58.960118480905535
