prior_games,edge,games,correlation,rmse,rmse_no_information,rmse_improvement
2,as measured,650,0.19571175864110948,0.19338815910309803,0.18525201897785273,-0.04391930608981909
2,shrunk,650,0.19509744773637835,0.1832720146062939,0.18525201897785273,0.010688166220717776
3,as measured,671,0.1862395122025951,0.18780777258825893,0.18285039013101598,-0.027111686519732725
3,shrunk,671,0.17311637008664013,0.18097470875896773,0.18285039013101598,0.01025801132119153
4,as measured,652,0.18734602578522094,0.19572154193248814,0.1960632080205568,0.0017426323455486115
4,shrunk,652,0.18655123657608955,0.1933145997440951,0.1960632080205568,0.014018990631702422
5,as measured,661,0.23843368354214348,0.18725100549283102,0.18991531940095463,0.014028957308591994
5,shrunk,661,0.24027360613664056,0.18650053491968938,0.18991531940095463,0.017980563611384448
6,as measured,637,0.20325151423973897,0.1811629372706684,0.1830798044402237,0.010470118074553447
6,shrunk,637,0.20588287512372602,0.17967877536255283,0.1830798044402237,0.018576757212897976
7,as measured,662,0.25751525313336765,0.18695630357703324,0.19230633114019868,0.027820340242802888
7,shrunk,662,0.255776695169484,0.18809526654367387,0.19230633114019868,0.021897690895339217
8,as measured,2435,0.26458777564904007,0.18411679652256327,0.19059405929986686,0.03398459952580546
8,shrunk,2435,0.26828878598823797,0.18554028610587012,0.19059405929986686,0.026515900928714142
