decile,games,mean_edge,mean_realized,plays,fitted_realized,slope
1,637,-0.03960405938422233,-0.09389369622606429,36964,-0.08436157437798299,2.132548348580673
2,637,-0.022605925414757345,-0.042991831430882956,37751,-0.0481122318524474,2.132548348580673
3,637,-0.014503600550268003,-0.019134298022412486,38039,-0.030833632343016525,2.132548348580673
4,636,-0.008130114742960699,-0.013159014525574603,38788,-0.017241865709940976,2.132548348580673
5,637,-0.0030353782938533974,-0.005896827856904059,38458,-0.00637709390894344,2.132548348580673
6,637,0.0019810028881301124,-0.0022242958958474607,38448,0.004320581496546659,2.132548348580673
7,636,0.007472034550241377,0.014127968213621847,39336,0.016030471999586227,2.132548348580673
8,637,0.013410725682869431,0.021258084100908313,38636,0.02869501796720287,2.132548348580673
9,637,0.021514118817841207,0.05101243604189967,39420,0.045975895615086894,2.132548348580673
10,637,0.03875154371398476,0.08173258209848858,38775,0.08273553761114122,2.132548348580673
