decile,plays,mean_predicted,observed_rate,target,candidate
1,11996,0.0017461809436516698,0.0020840280093364456,explosive,linear
2,11995,0.02478405881353795,0.02184243434764485,explosive,linear
3,11995,0.038366701496483614,0.03993330554397666,explosive,linear
4,11995,0.04528072533068922,0.04493538974572739,explosive,linear
5,11995,0.05310571597231526,0.05177157148812005,explosive,linear
6,11995,0.06732762524711193,0.0676948728636932,explosive,linear
7,11995,0.088703466555142,0.08553563984993748,explosive,linear
8,11995,0.10421421950903591,0.10204251771571488,explosive,linear
9,11995,0.11971204104424377,0.12138390996248437,explosive,linear
10,11995,0.15279186557832666,0.1425593997498958,explosive,linear
