step,2021,2022,2023,2024,2025,2026,total
raw rows,163444,252307,254090,277048,293200,58764,1298853
game found in CFBD,163444,252307,254090,277048,293200,58764,1298853
"completed FBS game, regular or postseason, within cutoff",163444,160327,159011,162772,166057,32425,844036
after removing duplicate rows,158045,159415,158759,162472,165525,32414,836630
run or pass snaps (sacks count as pass),119861,120630,119537,120700,123614,23973,628315
  of which run or pass was read from the play text,305,275,180,151,684,297,1892
minus no-play penalties,119712,120477,119505,120629,123529,23937,627789
minus offsetting penalties,119712,120477,119505,120629,123529,23935,627787
minus accepted penalties on the play,118255,119162,118375,119656,121677,23527,620652
minus kneels,117631,118408,117346,118580,120577,23353,615895
minus spikes,117631,118408,117346,118580,120504,23332,615801
minus overtime,117458,118073,117139,118248,120127,23281,614326
"minus invalid down, distance, field position, clock, or score",117270,117912,117039,118135,120079,23236,613671
minus missing PPA or yards gained = model sample,117123,117796,116944,117721,119951,23223,612758
model sample minus garbage time = team profile sample,104812,106067,105412,105713,107424,18603,548031
