metric,play_family,down_group,pairings,offenses,defenses,median_abs_edge,p90_abs_edge,largest_abs_edge,auburn_florida_edge,auburn_florida_abs_percentile
value,run,standard downs,18906,138.0,138.0,0.00958076004591384,0.023377615799918802,0.0549745986623782,-0.010383585035431806,53.316407489685815
value,run,passing downs,11366,108.0,106.0,0.008458906973919676,0.023187681589513974,0.05859197953705851,0.0011658484225613515,7.293682913953897
value,pass,standard downs,18769,138.0,137.0,0.005998443678954818,0.015053905280040745,0.033156871236986234,-0.004718498426985146,40.52426874100911
value,pass,passing downs,18361,135.0,137.0,0.008950324226122333,0.022302854670385612,0.04866148178249719,-0.012710353249766139,65.54109253308643
explosive,run,standard downs,18906,138.0,138.0,0.0007322245491920614,0.0016944399730190313,0.003783192494347878,-0.0007760885303366703,52.50714059028879
explosive,run,passing downs,11366,108.0,106.0,0.001301438137184488,0.0025562377271596184,0.008819619424129895,-0.000258819159297841,14.35861340841105
explosive,pass,standard downs,18769,138.0,137.0,0.0014523156760480429,0.0035300570019750066,0.007374744942411485,-0.0002932476080275421,10.703820128936012
explosive,pass,passing downs,18361,135.0,137.0,0.001257536570929717,0.003155939338479578,0.006603312664258598,-0.002527092098700363,81.72757475083057
value,any,largest of the four situations,18906,,,0.016942734568895633,0.028733134132404477,0.05859197953705851,0.012710353249766139,28.371945414154236
explosive,any,largest of the four situations,18906,,,0.002250622750718533,0.004059670000140649,0.008819619424129895,0.002527092098700363,58.960118480905535
