team_offense,team_defense,largest_abs_edge
Air Force,Akron,0.014122106314645786
Air Force,Alabama,0.01936403926109684
Air Force,App State,0.014990444639260046
Air Force,Arizona,0.015797590582903295
Air Force,Arizona State,0.005284241729267855
Air Force,Arkansas,0.0170692567606045
Air Force,Arkansas State,0.014409072682814291
Air Force,Army,0.015467857156777221
Air Force,Auburn,0.00844276050187233
Air Force,BYU,0.01224108831570998
Air Force,Ball State,0.015379628207423371
Air Force,Baylor,0.019182820442938217
Air Force,Boise State,0.0066353551187316095
Air Force,Boston College,0.009014599685456818
Air Force,Bowling Green,0.011809617877623193
Air Force,Buffalo,0.024522263398190566
Air Force,California,0.028598129772192338
Air Force,Central Michigan,0.016361579044161384
Air Force,Charlotte,0.004847197291404376
Air Force,Cincinnati,0.024431294889882802
Air Force,Clemson,0.009887693115332344
Air Force,Coastal Carolina,0.026024944651240674
Air Force,Colorado,0.017268027791946118
Air Force,Colorado State,0.015516702454585127
Air Force,Delaware,0.003379003705058092
Air Force,Duke,0.010977906494103497
Air Force,East Carolina,0.014344688936667323
Air Force,Eastern Michigan,0.01981949954978034
Air Force,Florida,0.0106673349805676
Air Force,Florida Atlantic,0.024439117929914787
Air Force,Florida International,0.025441711332386575
Air Force,Florida State,0.016000371599743494
Air Force,Fresno State,0.0086217587050859
Air Force,Georgia,0.006254557850776109
Air Force,Georgia Southern,0.017129190993819213
Air Force,Georgia State,0.01732256258601544
Air Force,Georgia Tech,0.018322412119751903
Air Force,Hawai'i,0.016001777141944874
Air Force,Houston,0.008044021995914115
Air Force,Illinois,0.015318396131697144
Air Force,Indiana,0.014623502470975979
Air Force,Iowa,0.017817533937749985
Air Force,Iowa State,0.023232510596271877
Air Force,Jacksonville State,0.011594817019716196
Air Force,James Madison,0.016595304078241096
Air Force,Kansas,0.022936672476023948
Air Force,Kansas State,0.008143215707635376
Air Force,Kennesaw State,0.012259681522626117
Air Force,Kent State,0.017638880087647482
Air Force,Kentucky,0.01724750832546039
Air Force,LSU,0.010964907456053037
Air Force,Liberty,0.01302937684496341
Air Force,Louisiana,0.01743829931328714
Air Force,Louisiana Tech,0.017176354633497957
Air Force,Louisville,0.017280891317488962
Air Force,Marshall,0.010329665656412211
Air Force,Maryland,0.014819191827272064
Air Force,Massachusetts,0.01964101398471345
Air Force,Memphis,0.03521282250799348
Air Force,Miami,0.006988889793654791
Air Force,Miami (OH),0.005402985634483241
Air Force,Michigan,0.017935402888513207
Air Force,Michigan State,0.012090967403079259
Air Force,Middle Tennessee,0.009622503206020434
Air Force,Minnesota,0.016702993642192028
Air Force,Mississippi State,0.0036296722032577193
Air Force,Missouri,0.015099567272110776
Air Force,Missouri State,0.01507871854113987
Air Force,NC State,0.01568630601487926
Air Force,Navy,0.019744808693208313
Air Force,Nebraska,0.019148190027339546
Air Force,Nevada,0.013332219292149766
Air Force,New Mexico,0.008153838198096435
Air Force,New Mexico State,0.023758270855188925
Air Force,North Carolina,0.017869775089561796
Air Force,North Dakota State,0.03279310262564154
Air Force,North Texas,0.021160608247781168
Air Force,Northern Illinois,0.018273249310719514
Air Force,Northwestern,0.01609552940668381
Air Force,Notre Dame,0.016077364155870414
Air Force,Ohio,0.009013978644886164
Air Force,Ohio State,0.013153671436880055
Air Force,Oklahoma,0.012568319128045125
Air Force,Oklahoma State,0.0198264121287037
Air Force,Old Dominion,0.01022297250836986
Air Force,Ole Miss,0.019290037792781108
Air Force,Oregon,0.027249622009470696
Air Force,Oregon State,0.026816873754878463
Air Force,Penn State,0.013903945253854091
Air Force,Pittsburgh,0.004536480392991286
Air Force,Purdue,0.011944486642926489
Air Force,Rice,0.011706134005472522
Air Force,Rutgers,0.018893155805084202
Air Force,SMU,0.011387029100762508
Air Force,Sacramento State,0.016882834265674565
Air Force,Sam Houston,0.015599448276220335
Air Force,San Diego State,0.01782507895199538
Air Force,San José State,0.017430253039644843
Air Force,South Alabama,0.009870766449444148
Air Force,South Carolina,0.005506673255310087
Air Force,South Florida,0.019646069635934533
Air Force,Southern Miss,0.014476719708684195
Air Force,Stanford,0.007926114259297106
Air Force,Syracuse,0.0072265396343242395
Air Force,TCU,0.0048386631145849205
Air Force,Temple,0.014129325726356168
Air Force,Tennessee,0.01419511730109331
Air Force,Texas,0.008798661449810983
Air Force,Texas A&M,0.010773226384595715
Air Force,Texas State,0.0190761730672845
Air Force,Texas Tech,0.008303948733329677
Air Force,Toledo,0.008583624702877811
Air Force,Troy,0.019848502315180334
Air Force,Tulane,0.013055928867372474
Air Force,Tulsa,0.01563976061270011
Air Force,UAB,0.01355131900637518
Air Force,UCF,0.01914404616388595
Air Force,UCLA,0.01908174529157498
Air Force,UConn,0.0033304037765515236
Air Force,UL Monroe,0.024863058011637428
Air Force,UNLV,0.016879921210630873
Air Force,USC,0.01448552730868066
Air Force,UTEP,0.007487637326655047
