team,plays,raw_ppa_over_expected,shrunk_ppa_over_expected,posterior_sd,rank_estimate,rank_low_90,rank_high_90,one_play_swing_in_raw_mean,rank_interval_width
Mississippi State,105,0.4442481675045507,0.06657445492532445,0.048582258892383566,1,1.0,84.0,0.03356672354855879,84.0
Massachusetts,90,0.3623081286680915,0.047556706793641504,0.0491107944005477,2,2.0,104.0,0.03716325234129237,103.0
Memphis,169,0.2086193051077478,0.046107632886785474,0.04650473566144888,3,2.0,101.0,0.03971169533536681,100.0
North Texas,106,0.2930731974217489,0.04427466141251516,0.048547627032938724,4,2.0,104.0,0.03712108851708466,103.0
Oregon State,142,0.2228512292085954,0.04289899757018213,0.04734817556070874,5,2.0,104.0,0.040678130942886165,103.0
Georgia State,104,0.27793798006246007,0.041313709410993694,0.04861696497251422,6,2.0,105.0,0.041865481782946606,104.0
SMU,87,0.3216195324290609,0.040988045764111414,0.049218586619311125,7,2.0,111.0,0.06978231304947058,110.0
Miami,74,0.3457364212501032,0.03820520140445545,0.04969402648524736,8,2.0,110.0,0.04107831514996232,109.0
Louisville,116,0.23406751425667938,0.03815281405976844,0.048205333104072316,9,3.0,107.0,0.04768001155390347,105.0
Boise State,136,0.1772829136502802,0.0329531151852474,0.047541919245650634,10,3.0,110.0,0.03775846896369696,108.0
Utah,80,0.2672008495145074,0.03163731456821566,0.049472887854725735,11,3.0,117.0,0.04563950119265082,115.0
Miami (OH),68,0.2985727797202311,0.030592395233968773,0.049918157274694334,12,3.0,115.0,0.08369033358970844,113.0
BYU,97,0.20809368869253209,0.02914140819908124,0.04886200818241634,13,3.0,116.0,0.030278988000576736,114.0
Georgia,53,0.35066129300046484,0.028651448415232383,0.050492027201368306,14,3.0,116.0,0.09532763798405328,114.0
Nebraska,107,0.17592553802989774,0.026789674336377564,0.04851306913001521,15,3.0,116.0,0.04601139055607913,114.0
Louisiana,75,0.23057959731855437,0.025785748067413558,0.04965696406568454,16,4.0,118.0,0.05979807914639355,115.0
Purdue,118,0.15063867989191299,0.02490732873811862,0.04813773907634227,17,4.0,116.0,0.02672002131594903,113.0
Army,99,0.17266938263754447,0.02460810883182694,0.04879161802229253,18,4.0,120.0,0.03627584504348528,117.0
Cincinnati,103,0.16059816007814712,0.02367619512788646,0.04865174553881803,19,4.0,118.04999999999973,0.029483554341874035,115.04999999999973
Colorado State,120,0.1386465883480193,0.023247897886932784,0.0480704285966976,20,4.0,118.0,0.05008231928079485,115.0
Florida Atlantic,129,0.12649672367786918,0.022518253186936114,0.047770987789287546,21,5.0,117.0,0.04913467579894794,113.0
App State,118,0.13592601644822436,0.02247466572442126,0.04813773907634227,22,4.0,118.0,0.026095244241514055,115.0
UConn,89,0.16849820041731742,0.02190333864566537,0.04914664641098802,23,5.0,121.0,0.044593556823804135,117.0
