side,measure,family,team_seasons,median_early_plays,plays_per_game,k_plays,weight_after_two_games,games_to_half_weight,early_late_correlation
offense,Pass rate,identity,664,112.0,55.5,79.43,0.5850702606696965,1.4311711711711712,0.6990698154758985
offense,"Pass rate, standard downs",identity,664,78.5,39.0,59.57,0.5685521836749475,1.5274358974358975,0.6755485748952967
offense,"Pass rate, passing downs",identity,664,34.5,17.0,42.17,0.4499804356332333,2.4805882352941175,0.5896534284076835
offense,Sack rate allowed,efficiency,664,56.0,27.5,167.88,0.2501340003573343,6.104727272727272,0.3763857030567473
offense,Yards per play,efficiency,664,112.0,55.5,398.11,0.21956048695379426,7.173153153153153,0.3956186933322717
offense,Success rate,efficiency,664,112.0,55.5,354.81,0.2399263083481502,6.392972972972973,0.41233011251873536
offense,Explosive-play rate (20+ yards),efficiency,664,112.0,55.5,562.34,0.16608832339769256,10.132252252252252,0.32093068567675287
offense,PPA per play,efficiency,664,112.0,55.5,354.81,0.2399263083481502,6.392972972972973,0.4259920720787368
offense,PPA over expected,adjusted,664,112.0,55.5,595.66,0.15826809484780827,10.732612612612613,0.3156803991706536
offense,Explosive rate over expected,adjusted,664,112.0,55.5,944.06,0.10605458023218378,17.010090090090088,0.22239487275242212
defense,Pass rate,identity,664,109.0,54.5,1678.8,0.060968788455084466,30.803669724770643,0.13828969705585673
defense,"Pass rate, standard downs",identity,664,73.0,36.0,1412.54,0.049140379929184,39.23722222222222,0.12421528370756132
defense,"Pass rate, passing downs",identity,664,36.0,18.0,944.06,0.036732444952349855,52.44777777777777,0.060206279176380176
defense,Sack rate allowed,efficiency,664,55.0,27.0,4216.97,0.012874622246879073,156.1840740740741,0.035432249036153614
defense,Yards per play,efficiency,664,109.0,54.5,562.34,0.16236184347722465,10.31816513761468,0.30135416018487493
defense,Success rate,efficiency,664,109.0,54.5,562.34,0.16236184347722465,10.31816513761468,0.2845981142548098
defense,Explosive-play rate (20+ yards),efficiency,664,109.0,54.5,944.06,0.10350787229597554,17.322201834862383,0.20105996173798588
defense,PPA per play,efficiency,664,109.0,54.5,595.66,0.1546845287088809,10.929541284403669,0.287632740309921
defense,PPA over expected,adjusted,664,109.0,54.5,841.4,0.11468855218855219,15.438532110091742,0.2171274992345278
defense,Explosive rate over expected,adjusted,664,109.0,54.5,1188.5,0.08400770712909442,21.807339449541285,0.15908905740473003
