target,family,setting,cv_loss,params
value,linear,penalty=1,1.6464325380464184,"{""penalty"": 1.0}"
value,linear,penalty=10,1.646427170976187,"{""penalty"": 10.0}"
value,linear,penalty=100,1.6464432896609023,"{""penalty"": 100.0}"
value,linear,penalty=1000,1.6467689833711687,"{""penalty"": 1000.0}"
value,linear,penalty=10000,1.648735738768453,"{""penalty"": 10000.0}"
value,boosted,"depth=4, leaf=light",1.6089326059331597,"{""max_depth"": 4, ""min_child_weight"": 500, ""n_estimators"": 307}"
value,boosted,"depth=6, leaf=light",1.6087955927343192,"{""max_depth"": 6, ""min_child_weight"": 500, ""n_estimators"": 144}"
value,boosted,"depth=4, leaf=heavy",1.6094008257142047,"{""max_depth"": 4, ""min_child_weight"": 2000, ""n_estimators"": 505}"
value,boosted,"depth=6, leaf=heavy",1.6097808000465024,"{""max_depth"": 6, ""min_child_weight"": 2000, ""n_estimators"": 226}"
explosive,linear,penalty=0.01,0.23493067771679896,"{""penalty"": 0.01}"
explosive,linear,penalty=0.1,0.2348544355418608,"{""penalty"": 0.1}"
explosive,linear,penalty=1,0.23484096610650657,"{""penalty"": 1.0}"
explosive,boosted,"depth=4, leaf=light",0.23318219557404518,"{""max_depth"": 4, ""min_child_weight"": 30, ""n_estimators"": 134}"
explosive,boosted,"depth=6, leaf=light",0.23323583230376244,"{""max_depth"": 6, ""min_child_weight"": 30, ""n_estimators"": 63}"
explosive,boosted,"depth=4, leaf=heavy",0.23330150544643402,"{""max_depth"": 4, ""min_child_weight"": 120, ""n_estimators"": 104}"
explosive,boosted,"depth=6, leaf=heavy",0.23334583267569542,"{""max_depth"": 6, ""min_child_weight"": 120, ""n_estimators"": 75}"
explosive_alt,linear,penalty=0.01,0.3565016212507192,"{""penalty"": 0.01}"
explosive_alt,linear,penalty=0.1,0.3563276170910727,"{""penalty"": 0.1}"
explosive_alt,linear,penalty=1,0.35631936752019483,"{""penalty"": 1.0}"
