play_family,metric,sample,auburn_shrunk,florida_shrunk,edge
pass,value,primary,-0.01308471333116719,-0.002568990926166457,-0.007826852128666824
pass,value,garbage_included,-0.015261521036629764,0.0021822503645101887,-0.006539635336059788
pass,value,giveaways_removed,-0.004735058568308542,-0.0009626389057160364,-0.002848848737012289
pass,explosive,primary,-0.0019351494739769496,-0.00038127441093431394,-0.001158211942455632
pass,explosive,garbage_included,-0.001999143025469808,-0.0007297679785617956,-0.0013644555020158016
pass,explosive,giveaways_removed,-0.0015034409032622174,-0.0003134284899842335,-0.0009084346966232254
run,value,primary,-0.019328115748745864,0.004683132267655099,-0.007322491740545382
run,value,garbage_included,-0.01933380137407877,-0.011150626508243585,-0.015242213941161178
run,value,giveaways_removed,-0.01156438526219119,0.007701672355306472,-0.0019313564534423591
run,explosive,primary,-0.0006439227220197078,-0.0007627742147534251,-0.0007033484683865664
run,explosive,garbage_included,0.0008699812705064906,-0.0012134434947052477,-0.00017173111209937855
run,explosive,giveaways_removed,-0.0005814523818944798,-0.0007467390491221242,-0.000664095715508302
