game_id,week,offense,defense,metric,play_by_play,cfbd,official,reference,diff_vs_reference,status,cfbd_vs_official,official_source
401856636,1,Auburn,Baylor,points,,17.0,17.0,official,,info,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,plays,76.0,76.0,76.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,rushes (incl. sacks),41.0,41.0,41.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,pass attempts (excl. sacks),35.0,35.0,35.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,total yards,414.0,389.0,389.0,official,25.0,investigate,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,interceptions thrown,3.0,3.0,3.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,fumbles lost,0.0,0.0,0.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,sacks allowed,5.0,5.0,5.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,penalties,,6.0,6.0,official,,info,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,penalty yards,,47.0,47.0,official,,info,0.0,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,ppa_total (info),2.1178482909456005,-3.2726868842351524,,cfbd,5.391,info,,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,advanced plays (info),,75.0,,cfbd,,info,,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,accepted penalty snaps (info),1.0,,,official,,info,,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,yards on accepted penalty snaps (info),33.0,,,official,,info,,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,"ppa matches CFBD, other plays (share)",1.0,,,official,,match,,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,"ppa matches CFBD, possession-change plays (share, info)",0.0,,,official,,info,,WMT wmt_game_6594109
401856636,1,Auburn,Baylor,plays matched to CFBD /plays (info),75.0,,,official,,info,,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,points,,16.0,16.0,official,,info,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,plays,99.0,99.0,99.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,rushes (incl. sacks),45.0,45.0,45.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,pass attempts (excl. sacks),54.0,54.0,54.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,total yards,455.0,436.0,436.0,official,19.0,investigate,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,interceptions thrown,1.0,1.0,1.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,fumbles lost,1.0,1.0,1.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,sacks allowed,1.0,1.0,1.0,official,0.0,match,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,penalties,,5.0,5.0,official,,info,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,penalty yards,,40.0,40.0,official,,info,0.0,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,accepted penalty snaps (info),1.0,,,official,,info,,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,yards on accepted penalty snaps (info),11.0,,,official,,info,,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,ppa_total (info),5.975402257120525,,,cfbd,,info,,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,"ppa matches CFBD, other plays (share)",1.0,,,official,,match,,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,"ppa matches CFBD, possession-change plays (share, info)",0.2,,,official,,info,,WMT wmt_game_6594109
401856636,1,Baylor,Auburn,plays matched to CFBD /plays (info),98.0,,,official,,info,,WMT wmt_game_6594109
401856637,1,Florida,Florida Atlantic,points,,66.0,66.0,official,,info,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,plays,67.0,67.0,67.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,rushes (incl. sacks),41.0,41.0,41.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,pass attempts (excl. sacks),26.0,26.0,26.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,total yards,621.0,624.0,624.0,official,-3.0,minor,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,interceptions thrown,1.0,1.0,1.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,fumbles lost,0.0,0.0,0.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,sacks allowed,1.0,1.0,0.0,official,1.0,minor,1.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,penalties,,3.0,3.0,official,,info,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,penalty yards,,32.0,32.0,official,,info,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,ppa_total (info),42.93891341089025,41.19184350680552,,cfbd,1.747,info,,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,advanced plays (info),,68.0,,cfbd,,info,,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,accepted penalty snaps (info),2.0,,,official,,info,,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,yards on accepted penalty snaps (info),19.0,,,official,,info,,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,"ppa matches CFBD, other plays (share)",1.0,,,official,,match,,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,"ppa matches CFBD, possession-change plays (share, info)",0.0,,,official,,info,,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida,Florida Atlantic,plays matched to CFBD /plays (info),67.0,,,official,,info,,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida Atlantic,Florida,points,,21.0,21.0,official,,info,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida Atlantic,Florida,plays,90.0,90.0,90.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida Atlantic,Florida,rushes (incl. sacks),37.0,37.0,37.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida Atlantic,Florida,pass attempts (excl. sacks),53.0,53.0,53.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida Atlantic,Florida,total yards,398.0,396.0,396.0,official,2.0,minor,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida Atlantic,Florida,interceptions thrown,2.0,2.0,2.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
401856637,1,Florida Atlantic,Florida,fumbles lost,1.0,1.0,1.0,official,0.0,match,0.0,Sidearm boxscore_27903_florida-atlantic
