metric,side,play_family,down_group,k,team_seasons,median_early_plays,shrink_at_median_early_plays,error_reduction_vs_no_trust,early_late_correlation,k_2026_method_of_moments,teams_2026
value,offense,pass,passing downs,281.84,664,22.5,0.07393047249786423,0.026893789937635026,0.1868375014661727,130.54689055863693,138
value,offense,pass,standard downs,473.15,664,34.0,0.06704130927733412,0.015976874826675314,0.1422569897281692,122.57630940587565,138
value,offense,run,passing downs,158.49,664,11.0,0.06490058410525694,0.022289921052213724,0.1398928498946416,82.57742845963993,129
value,offense,run,standard downs,398.11,664,44.0,0.09952274320870372,0.04499706762456146,0.2170484542028112,119.34277106633297,138
value,defense,pass,passing downs,944.06,664,24.0,0.02479185174472657,0.0036104100328442357,0.08188394313231126,336.18920286793974,138
value,defense,pass,standard downs,841.4,664,31.0,0.035534158642824394,0.006622185639047262,0.06347479775235387,inf,138
value,defense,run,passing downs,421.7,664,12.0,0.0276688955499193,0.003671135806716186,-0.0129276191722262,inf,135
value,defense,run,standard downs,334.97,664,40.0,0.10667520068272128,0.05068395390083491,0.23811345126720052,125.20203985661362,138
explosive,offense,pass,passing downs,375.84,664,22.5,0.056484410302756444,0.016343073648952156,0.11818423264344276,239.77513816384172,138
explosive,offense,pass,standard downs,446.68,664,34.0,0.07073312806856953,0.02319038497770254,0.17820400626514582,107.21926390858249,138
explosive,offense,run,passing downs,316.23,664,11.0,0.033615499801362955,0.008328849457094667,0.059739662324326114,46.418875517993676,129
explosive,offense,run,standard downs,794.33,664,44.0,0.05248529815227893,0.013047724827018214,0.12440553535118073,inf,138
explosive,defense,pass,passing downs,1059.25,664,24.0,0.022155550426955918,0.002521712814919641,0.05151524405095707,inf,138
explosive,defense,pass,standard downs,1059.25,664,31.0,0.028433845448291677,0.0047025795540668325,0.06463166421202728,154.8758191323373,138
explosive,defense,run,passing downs,237.14,664,12.0,0.048165689973508875,0.012669780132212205,0.10445179952151862,252.60332140554323,135
explosive,defense,run,standard downs,794.33,664,40.0,0.04794266057794877,0.010841804753375928,0.12033002343099625,inf,138
