play_family,down_group,side,team,metric,plays,tier,observed,expected,raw_residual,shrink_factor,shrunk_residual
pass,passing downs,offense,Auburn,value,25,eligible,0.14485597793697746,0.43911585205838805,-0.29425987412141064,0.08147568765480381,-0.02397502559325794
pass,standard downs,offense,Auburn,value,40,eligible,0.1956624778746955,0.2762048106267212,-0.08054233275202569,0.07794991717821301,-0.006278268167360475
run,passing downs,offense,Auburn,value,15,eligible,0.4036211733753553,0.47848370127252615,-0.07486252789717081,0.08646031471554556,-0.0064726377223906974
run,standard downs,offense,Auburn,value,54,eligible,0.04539009240066542,0.23711053504825394,-0.19172044264758853,0.11943995930193979,-0.022899081867177856
pass,passing downs,offense,Auburn,explosive,25,eligible,0.04,0.11794244848744334,-0.07794244848744335,0.06236902504740046,-0.004861194521969074
pass,standard downs,offense,Auburn,explosive,40,eligible,0.125,0.12629421983805242,-0.0012942198380524379,0.08218952905399853,-0.00010637131898187211
run,passing downs,offense,Auburn,explosive,15,eligible,0.06666666666666667,0.05468723324633242,0.011979433420334244,0.04528575310207408,0.0005424976641759914
run,standard downs,offense,Auburn,explosive,54,eligible,0.037037037037037035,0.05233028946603356,-0.015293252428996509,0.06365447408437754,-0.000973483940407402
pass,passing downs,defense,Florida,value,21,eligible,0.1202138509399866,0.1866504611975634,-0.06643661025757684,0.021760305058752826,-0.0014456809062743392
pass,standard downs,defense,Florida,value,40,eligible,-0.13673346296588124,-0.06713087635643386,-0.06960258660944736,0.04538234626730202,-0.003158728686609819
run,passing downs,defense,Florida,value,13,limited,0.43567512393861446,0.14127172113107025,0.29440340280754423,0.029905682079595125,0.008804334567513401
run,standard downs,defense,Florida,value,21,eligible,-0.04187623635829065,-0.07801417169800405,0.03613793533971344,0.05899373542714273,0.002131911796314246
pass,passing downs,defense,Florida,explosive,21,eligible,0.047619047619047616,0.05754652842309723,-0.009927480804049612,0.01943994445730155,-0.00019298967543165182
pass,standard downs,defense,Florida,explosive,40,eligible,0.05,0.0631944048464432,-0.013194404846443195,0.036388446668182854,-0.00048012389707321156
run,passing downs,defense,Florida,explosive,13,limited,0.0,0.020398647286962026,-0.020398647286962026,0.05197089629807308,-0.0010601359827716733
run,standard downs,defense,Florida,explosive,21,eligible,0.0,0.022467898178401308,-0.022467898178401308,0.02575644217678731,-0.0005786931202659383
